data,variazione_terapia_intensiva
2020-02-24T18:00:00,1
2020-02-25T18:00:00,20
2020-02-26T18:00:00,8
2020-02-27T18:00:00,41
2020-02-28T18:00:00,35
2020-02-29T18:00:00,26
2020-03-01T18:00:00,63
2020-03-02T18:00:00,66
2020-03-03T18:00:00,56
2020-03-04T18:00:00,111
2020-03-05T18:00:00,105
2020-03-06T18:00:00,83
2020-03-07T18:00:00,83
2020-03-08T18:00:00,144
2020-03-09T18:00:00,151
2020-03-10T18:00:00,125
2020-03-11T17:00:00,175
2020-03-12T17:00:00,190
2020-03-13T17:00:00,154
2020-03-14T17:00:00,179
2020-03-15T17:00:00,209
2020-03-16T17:00:00,197
2020-03-17T17:00:00,241
2020-03-18T17:00:00,157
2020-03-19T17:00:00,202
2020-03-20T17:00:00,152
2020-03-21T17:00:00,195
2020-03-22T17:00:00,192
2020-03-23T17:00:00,93
2020-03-24T17:00:00,123
2020-03-25T17:00:00,120
2020-03-26T17:00:00,124
2020-03-27T17:00:00,50
2020-03-28T17:00:00,75
2020-03-29T17:00:00,42
2020-03-30T17:00:00,12
2020-03-31T17:00:00,18
2020-04-01T17:00:00,15
2020-04-02T17:00:00,-74
2020-04-03T17:00:00,-17
2020-04-04T17:00:00,-79
2020-04-05T17:00:00,-106
2020-04-06T17:00:00,-99
2020-04-07T17:00:00,-88
2020-04-08T17:00:00,-108
2020-04-09T17:00:00,-116
2020-04-10T17:00:00,-38
2020-04-11T17:00:00,-83
2020-04-12T17:00:00,-74
2020-04-13T17:00:00,-107
2020-04-14T17:00:00,-143
2020-04-15T17:00:00,-124
2020-04-16T17:00:00,-79
2020-04-17T17:00:00,-98
2020-04-18T17:00:00,-62
2020-04-19T17:00:00,-102
2020-04-20T17:00:00,-87
2020-04-21T17:00:00,-117
2020-04-22T17:00:00,-94
2020-04-23T17:00:00,-71
2020-04-24T17:00:00,-93
2020-04-25T17:00:00,-53
2020-04-26T17:00:00,-93
2020-04-27T17:00:00,-68
2020-04-28T17:00:00,-101
2020-04-29T17:00:00,-116
2020-04-30T17:00:00,-39
2020-05-01T17:00:00,-38
2020-05-02T17:00:00,-22
2020-05-03T17:00:00,-52
2020-05-04T17:00:00,-94
2020-05-05T17:00:00,-22
2020-05-06T17:00:00,-143
2020-05-07T17:00:00,-134
2020-05-08T17:00:00,-7
2020-05-09T17:00:00,-28
2020-05-10T17:00:00,-47
2020-05-11T17:00:00,-59
2020-05-12T17:00:00,-38
2020-05-13T17:00:00,-47
2020-05-14T17:00:00,-33
2020-05-15T17:00:00,-13
2020-05-16T17:00:00,-13
2020-05-17T17:00:00,-33
2020-05-18T17:00:00,-40
2020-05-19T17:00:00,-36
2020-05-20T17:00:00,-45
2020-05-21T17:00:00,-23
2020-05-22T17:00:00,-19
2020-05-23T17:00:00,-12
2020-05-24T17:00:00,-20
2020-05-25T17:00:00,-16
2020-05-26T17:00:00,-16
2020-05-27T17:00:00,-14
2020-05-28T17:00:00,-25
2020-05-29T17:00:00,-15
2020-05-30T17:00:00,-11
2020-05-31T17:00:00,-16
2020-06-01T17:00:00,-55
2020-06-02T17:00:00,-15
2020-06-03T17:00:00,-22
2020-06-04T17:00:00,-23
2020-06-05T17:00:00,-6
2020-06-06T17:00:00,-4
2020-06-07T17:00:00,-20
2020-06-08T17:00:00,-14
2020-06-09T17:00:00,-13
2020-06-10T17:00:00,-9
2020-06-11T17:00:00,-7
2020-06-12T17:00:00,-11
2020-06-13T17:00:00,-2
2020-06-14T17:00:00,-30
2020-06-15T17:00:00,-14
2020-06-16T17:00:00,5
2020-06-17T17:00:00,-7
2020-06-18T17:00:00,-9
2020-06-19T17:00:00,-4
2020-06-20T17:00:00,-21
2020-06-21T17:00:00,-12
2020-06-22T17:00:00,-8
2020-06-23T17:00:00,-4
2020-06-24T17:00:00,2
2020-06-25T17:00:00,-8
2020-06-26T17:00:00,1
2020-06-27T17:00:00,-2
2020-06-28T17:00:00,-3
2020-06-29T17:00:00,-6
2020-06-30T17:00:00,-5
2020-07-01T17:00:00,-3
2020-07-02T17:00:00,-8
2020-07-03T17:00:00,3
2020-07-04T17:00:00,-2
2020-07-05T17:00:00,-2
2020-07-06T17:00:00,1
2020-07-07T17:00:00,-2
2020-07-08T17:00:00,-4
2020-07-09T17:00:00,2
2020-07-10T17:00:00,1
2020-07-11T17:00:00,-3
2020-07-12T17:00:00,-5
2020-07-13T17:00:00,-3
2020-07-14T17:00:00,-4
2020-07-15T17:00:00,-3
2020-07-16T17:00:00,0
2020-07-17T17:00:00,-1
2020-07-18T17:00:00,-2
2020-07-19T17:00:00,2
2020-07-20T17:00:00,-1
2020-07-21T17:00:00,1
2020-07-22T17:00:00,-3
2020-07-23T17:00:00,-5
2020-07-24T17:00:00,3
2020-07-25T17:00:00,1
2020-07-26T17:00:00,-5
2020-07-27T17:00:00,-2
2020-07-28T17:00:00,9
2020-07-29T17:00:00,-6
2020-07-30T17:00:00,2
2020-07-31T17:00:00,-1
2020-08-01T17:00:00,-1
2020-08-02T17:00:00,0
2020-08-03T17:00:00,0
2020-08-04T17:00:00,1
2020-08-05T17:00:00,0
2020-08-06T17:00:00,1
2020-08-07T17:00:00,2
2020-08-08T17:00:00,1
2020-08-09T17:00:00,3
2020-08-10T17:00:00,4
2020-08-11T17:00:00,2
2020-08-12T17:00:00,1
2020-08-13T17:00:00,-1
2020-08-14T17:00:00,1
2020-08-15T17:00:00,2
2020-08-16T17:00:00,0
2020-08-17T17:00:00,8
2020-08-18T17:00:00,2
2020-08-19T17:00:00,1
2020-08-20T17:00:00,-5
2020-08-21T17:00:00,5
2020-08-22T17:00:00,-4
2020-08-23T17:00:00,1
2020-08-24T17:00:00,3
2020-08-25T17:00:00,-2
2020-08-26T17:00:00,7
2020-08-27T17:00:00,5
2020-08-28T17:00:00,7
2020-08-29T17:00:00,8
2020-08-30T17:00:00,13
2020-08-31T17:00:00,2
2020-09-01T17:00:00,11
2020-09-02T17:00:00,1
2020-09-03T17:00:00,0
2020-09-04T17:00:00,12
2020-09-05T17:00:00,9
2020-09-06T17:00:00,1
2020-09-07T17:00:00,7
2020-09-08T17:00:00,14
2020-09-09T17:00:00,11
2020-09-10T17:00:00,7
2020-09-11T17:00:00,5
2020-09-12T17:00:00,10
2020-09-13T17:00:00,4
2020-09-14T17:00:00,6
2020-09-15T17:00:00,5
2020-09-16T17:00:00,-4
2020-09-17T17:00:00,7
2020-09-18T17:00:00,7
2020-09-19T17:00:00,10
2020-09-20T17:00:00,7
2020-09-21T17:00:00,5
2020-09-22T17:00:00,2
2020-09-23T17:00:00,-2
2020-09-24T17:00:00,3
2020-09-25T17:00:00,7
2020-09-26T17:00:00,10
2020-09-27T17:00:00,7
2020-09-28T17:00:00,9
2020-09-29T17:00:00,11
2020-09-30T17:00:00,3
2020-10-01T17:00:00,3
2020-10-02T17:00:00,6
2020-10-03T17:00:00,20
2020-10-04T17:00:00,-4
2020-10-05T17:00:00,18
2020-10-06T17:00:00,21
2020-10-07T17:00:00,29
2020-10-08T17:00:00,3
2020-10-09T17:00:00,30
2020-10-10T17:00:00,32
2020-10-11T17:00:00,62
2020-10-12T17:00:00,25
2020-10-13T17:00:00,47
2020-10-14T17:00:00,52
2020-10-15T17:00:00,67
2020-10-16T17:00:00,45
2020-10-17T17:00:00,47
2020-10-18T17:00:00,73
2020-10-19T17:00:00,56
2020-10-20T17:00:00,66
2020-10-21T17:00:00,57
2020-10-22T17:00:00,79
2020-10-23T17:00:00,80
2020-10-24T17:00:00,76
2020-10-25T17:00:00,127
2020-10-26T17:00:00,125
2020-10-27T17:00:00,115
2020-10-28T17:00:00,95
2020-10-29T17:00:00,97
2020-10-30T17:00:00,96
2020-10-31T17:00:00,83
2020-11-01T17:00:00,203
2020-11-02T17:00:00,67
2020-11-03T17:00:00,99
2020-11-04T17:00:00,124
2020-11-05T17:00:00,119
2020-11-06T17:00:00,115
2020-11-07T17:00:00,100
2020-11-08T17:00:00,122
2020-11-09T17:00:00,110
2020-11-10T17:00:00,89
2020-11-11T17:00:00,60
2020-11-12T17:00:00,76
2020-11-13T17:00:00,116
2020-11-14T17:00:00,70
2020-11-15T17:00:00,120
2020-11-16T17:00:00,58
2020-11-17T17:00:00,42
2020-11-18T17:00:00,36
2020-11-19T17:00:00,10
2020-11-20T17:00:00,43
2020-11-21T17:00:00,9
2020-11-22T17:00:00,6
2020-11-23T17:00:00,32
2020-11-24T17:00:00,-2
2020-11-25T17:00:00,-64
2020-11-26T17:00:00,-20
2020-11-27T17:00:00,-9
2020-11-28T17:00:00,-9
2020-11-29T17:00:00,-81
2020-11-30T17:00:00,-47
2020-12-01T17:00:00,-19
2020-12-02T17:00:00,-30
2020-12-03T17:00:00,-50
2020-12-04T17:00:00,-63
2020-12-05T17:00:00,-72
2020-12-06T17:00:00,-37
2020-12-07T17:00:00,-25
2020-12-08T17:00:00,-29
2020-12-09T17:00:00,-26
2020-12-10T17:00:00,-66
2020-12-11T17:00:00,-41
2020-12-12T17:00:00,-63
2020-12-13T17:00:00,-92
2020-12-14T17:00:00,-77
2020-12-15T17:00:00,-71
2020-12-16T17:00:00,-36
2020-12-17T17:00:00,-35
2020-12-18T17:00:00,-41
2020-12-19T17:00:00,-12
2020-12-20T17:00:00,-44
2020-12-21T17:00:00,-63
2020-12-22T17:00:00,-35
2020-12-23T17:00:00,-5
2020-12-24T17:00:00,-4
2020-12-25T17:00:00,0
2020-12-26T17:00:00,-15
2020-12-27T17:00:00,-16
2020-12-28T17:00:00,-21
2020-12-29T17:00:00,27
2020-12-30T17:00:00,-2
2020-12-31T17:00:00,16
2021-01-01T17:00:00,14
2021-01-02T17:00:00,-4
2021-01-03T17:00:00,-10
2021-01-04T17:00:00,2
2021-01-05T17:00:00,16
2021-01-06T17:00:00,0
2021-01-07T17:00:00,6
2021-01-08T17:00:00,22
2021-01-09T17:00:00,27
2021-01-10T17:00:00,-6
2021-01-11T17:00:00,-57
2021-01-12T17:00:00,-22
2021-01-13T17:00:00,-35
2021-01-14T17:00:00,-2
2021-01-15T17:00:00,-17
2021-01-16T17:00:00,41
2021-01-17T17:00:00,-57
2021-01-18T17:00:00,-26
2021-01-19T17:00:00,-43
2021-01-20T17:00:00,-28
2021-01-21T17:00:00,-4
2021-01-22T17:00:00,14
2021-01-23T17:00:00,21
2021-01-24T17:00:00,-49
2021-01-25T17:00:00,-20
2021-01-26T17:00:00,-64
2021-01-27T17:00:00,-18
2021-01-28T17:00:00,-52
2021-01-29T17:00:00,-3
2021-01-30T17:00:00,37
2021-01-31T17:00:00,-38
2021-02-01T17:00:00,-69
2021-02-02T17:00:00,6
2021-02-03T17:00:00,-9
2021-02-04T17:00:00,-32
2021-02-05T17:00:00,-3
2021-02-06T17:00:00,36
2021-02-07T17:00:00,0
2021-02-08T17:00:00,-15
2021-02-09T17:00:00,-2
2021-02-10T17:00:00,-31
2021-02-11T17:00:00,-33
2021-02-12T17:00:00,23
2021-02-13T17:00:00,4
2021-02-14T17:00:00,-15
2021-02-15T17:00:00,-31
2021-02-16T17:00:00,2
2021-02-17T17:00:00,14
2021-02-18T17:00:00,4
2021-02-19T17:00:00,31
2021-02-20T17:00:00,24
2021-02-21T17:00:00,28
2021-02-22T17:00:00,11
2021-02-23T17:00:00,11
2021-02-24T17:00:00,26
2021-02-25T17:00:00,22
2021-02-26T17:00:00,15
2021-02-27T17:00:00,58
2021-02-28T17:00:00,38
2021-03-01T17:00:00,84
2021-03-02T17:00:00,64
2021-03-03T17:00:00,50
2021-03-04T17:00:00,46
2021-03-05T17:00:00,34
2021-03-06T17:00:00,95
2021-03-07T17:00:00,56
2021-03-08T17:00:00,71
2021-03-09T17:00:00,32
2021-03-10T17:00:00,55
2021-03-11T17:00:00,68
2021-03-12T17:00:00,100
2021-03-13T17:00:00,75
2021-03-14T17:00:00,99
2021-03-15T17:00:00,61
2021-03-16T17:00:00,16
2021-03-17T17:00:00,31
2021-03-18T17:00:00,23
2021-03-19T17:00:00,61
2021-03-20T17:00:00,62
2021-03-21T17:00:00,36
2021-03-22T17:00:00,42
2021-03-23T17:00:00,32
2021-03-24T17:00:00,8
2021-03-25T17:00:00,7
2021-03-26T17:00:00,44
2021-03-27T17:00:00,42
2021-03-28T17:00:00,-5
2021-03-29T17:00:00,-6

